ParkName,CampType,CampCount
Acadia NP,Tent,"152,811"
Acadia NP,RV,"46,629"
Acadia NP,Backcountry,"1,324"
Amistad NRA,Tent,38
Amistad NRA,RV,"8,265"
Amistad NRA,Backcountry,0
Aniakchak NM & PRES,Tent,0
Aniakchak NM & PRES,RV,0
Aniakchak NM & PRES,Backcountry,235
Apostle Islands NL,Tent,0
Apostle Islands NL,RV,0
Apostle Islands NL,Backcountry,"11,220"
Arches NP,Tent,"28,046"
Arches NP,RV,"18,658"
Arches NP,Backcountry,"1,174"
Assateague Island NS,Tent,"40,826"
Assateague Island NS,RV,"20,735"
Assateague Island NS,Backcountry,973
Badlands NP,Tent,"7,934"
Badlands NP,RV,"1,500"
Badlands NP,Backcountry,"1,410"
Bandelier NM,Tent,"5,704"
Bandelier NM,RV,"4,164"
Bandelier NM,Backcountry,665
Bering Land Bridge NPRES,Tent,0
Bering Land Bridge NPRES,RV,0
Bering Land Bridge NPRES,Backcountry,"1,123"
Big Bend NP,Tent,"64,593"
Big Bend NP,RV,"27,385"
Big Bend NP,Backcountry,"41,793"
Big Cypress NPRES,Tent,"2,762"
Big Cypress NPRES,RV,"11,665"
Big Cypress NPRES,Backcountry,"3,287"
Big South Fork NRRA,Tent,"7,649"
Big South Fork NRRA,RV,"32,666"
Big South Fork NRRA,Backcountry,"12,794"
Big Thicket NPRES,Tent,0
Big Thicket NPRES,RV,0
Big Thicket NPRES,Backcountry,"3,339"
Bighorn Canyon NRA,Tent,"2,922"
Bighorn Canyon NRA,RV,"7,002"
Bighorn Canyon NRA,Backcountry,0
Biscayne NP,Tent,"2,522"
Biscayne NP,RV,0
Biscayne NP,Backcountry,0
Black Canyon of the Gunnison NP,Tent,"19,070"
Black Canyon of the Gunnison NP,RV,"11,878"
Black Canyon of the Gunnison NP,Backcountry,"1,936"
Blue Ridge PKWY,Tent,"69,923"
Blue Ridge PKWY,RV,"40,382"
Blue Ridge PKWY,Backcountry,757
Bryce Canyon NP,Tent,"38,192"
Bryce Canyon NP,RV,"62,768"
Bryce Canyon NP,Backcountry,"2,684"
Buffalo NR,Tent,"33,756"
Buffalo NR,RV,"13,078"
Buffalo NR,Backcountry,"38,297"
Canaveral NS,Tent,0
Canaveral NS,RV,0
Canaveral NS,Backcountry,"2,636"
Canyon de Chelly NM,Tent,0
Canyon de Chelly NM,RV,0
Canyon de Chelly NM,Backcountry,745
Canyonlands NP,Tent,"13,513"
Canyonlands NP,RV,"8,288"
Canyonlands NP,Backcountry,"86,227"
Cape Hatteras NS,Tent,"41,062"
Cape Hatteras NS,RV,"25,000"
Cape Hatteras NS,Backcountry,0
Cape Krusenstern NM,Tent,0
Cape Krusenstern NM,RV,0
Cape Krusenstern NM,Backcountry,"6,375"
Cape Lookout NS,Tent,0
Cape Lookout NS,RV,0
Cape Lookout NS,Backcountry,"37,197"
